Condition,Africa XI,Asia XI,Australia,Bangladesh,Canada,England,ICC World XI,India,Kenya,Netherlands,New Zealand,Pakistan,Scotland,South Africa,Sri Lanka,United Arab Emirates,United States of America,West Indies,Zimbabwe
"Batting First, At Home",0,0,51,3,0,17,0,25,1,0,11,30,0,37,24,0,0,12,10
"Bowling First, Away",0,0,18,1,0,23,0,21,0,0,20,17,0,30,22,0,0,17,5
"Lost the Toss, Away",0,0,18,1,0,23,0,21,0,0,20,17,0,30,22,0,0,17,5
"Lost the Toss, Bowling First",1,0,58,4,0,38,0,74,3,0,54,53,0,69,73,0,0,41,29
"Lost the Toss, Bowling First, Away",0,0,18,1,0,23,0,21,0,0,20,17,0,30,22,0,0,17,5
"Won the Toss, At Home",0,0,51,3,0,17,0,25,1,0,11,30,0,37,24,0,0,12,10
"Won the Toss, Batting First",0,1,122,6,1,50,1,86,9,1,47,121,0,108,80,0,0,54,36
"Won the Toss, Batting First, At Home",0,0,51,3,0,17,0,25,1,0,11,30,0,37,24,0,0,12,10
